ref_animal_ID,ref_treatment,ref_implantation,ref_behaviour_test,ref_age,ref_sex,ref_hindpaw,ref_day_number,ref_experiment_length,ref_trial_number,ref_response,rep_average
CIC03,control,yes,von Frey,17,F,contra,pre,acute,1,33.4,50.46666667
CIC03,control,yes,von Frey,17,F,contra,pre,acute,2,50.9,
CIC03,control,yes,von Frey,17,F,contra,pre,acute,3,67.1,
CIC03,control,yes,von Frey,17,F,contra,day3,acute,1,70.4,50.2
CIC03,control,yes,von Frey,17,F,contra,day3,acute,2,24.1,
CIC03,control,yes,von Frey,17,F,contra,day3,acute,3,56.1,
CIC03,control,yes,von Frey,17,F,contra,day7,acute,1,67.5,55.2
CIC03,control,yes,von Frey,17,F,contra,day7,acute,2,30.2,
CIC03,control,yes,von Frey,17,F,contra,day7,acute,3,67.9,
CIC03,control,yes,von Frey,17,F,ipisi,pre,acute,1,32.5,37.83333333
CIC03,control,yes,von Frey,17,F,ipisi,pre,acute,2,35.6,
CIC03,control,yes,von Frey,17,F,ipisi,pre,acute,3,45.4,
CIC03,control,yes,von Frey,17,F,ipisi,day3,acute,1,34.2,37.4
CIC03,control,yes,von Frey,17,F,ipisi,day3,acute,2,45,
CIC03,control,yes,von Frey,17,F,ipisi,day3,acute,3,33,
CIC03,control,yes,von Frey,17,F,ipisi,day7,acute,1,37.5,45.2
CIC03,control,yes,von Frey,17,F,ipisi,day7,acute,2,30.2,
CIC03,control,yes,von Frey,17,F,ipisi,day7,acute,3,67.9,
CIC03,control,yes,Hargreaves,17,F,contra,pre,acute,1,11.6,9.633333333
CIC03,control,yes,Hargreaves,17,F,contra,pre,acute,2,8.1,
CIC03,control,yes,Hargreaves,17,F,contra,pre,acute,3,9.2,
CIC03,control,yes,Hargreaves,17,F,contra,day3,acute,1,12.6,10.93333333
CIC03,control,yes,Hargreaves,17,F,contra,day3,acute,2,10.5,
CIC03,control,yes,Hargreaves,17,F,contra,day3,acute,3,9.7,
CIC03,control,yes,Hargreaves,17,F,contra,day7,acute,1,9.3,9.433333333
CIC03,control,yes,Hargreaves,17,F,contra,day7,acute,2,8.2,
CIC03,control,yes,Hargreaves,17,F,contra,day7,acute,3,10.8,
CIC03,control,yes,Hargreaves,17,F,ipisi,pre,acute,1,12.4,10.66666667
CIC03,control,yes,Hargreaves,17,F,ipisi,pre,acute,2,10.3,
CIC03,control,yes,Hargreaves,17,F,ipisi,pre,acute,3,9.3,
CIC03,control,yes,Hargreaves,17,F,ipisi,day3,acute,1,14.1,11.33333333
CIC03,control,yes,Hargreaves,17,F,ipisi,day3,acute,2,8.7,
CIC03,control,yes,Hargreaves,17,F,ipisi,day3,acute,3,11.2,
CIC03,control,yes,Hargreaves,17,F,ipisi,day7,acute,1,8.7,9.033333333
CIC03,control,yes,Hargreaves,17,F,ipisi,day7,acute,2,11,
CIC03,control,yes,Hargreaves,17,F,ipisi,day7,acute,3,7.4,
CIC04,control,yes,von Frey,17,F,contra,pre,acute,1,10.8,13.1
CIC04,control,yes,von Frey,17,F,contra,pre,acute,2,13.3,
CIC04,control,yes,von Frey,17,F,contra,pre,acute,3,15.2,
CIC04,control,yes,von Frey,17,F,contra,day3,acute,1,29.8,49
CIC04,control,yes,von Frey,17,F,contra,day3,acute,2,51.7,
CIC04,control,yes,von Frey,17,F,contra,day3,acute,3,65.5,
CIC04,control,yes,von Frey,17,F,contra,day7,acute,1,69.4,60.005
CIC04,control,yes,von Frey,17,F,contra,day7,acute,2,50.61,
CIC04,control,yes,von Frey,17,F,ipisi,pre,acute,1,17.6,21.23333333
CIC04,control,yes,von Frey,17,F,ipisi,pre,acute,2,27,
CIC04,control,yes,von Frey,17,F,ipisi,pre,acute,3,19.1,
CIC04,control,yes,von Frey,17,F,ipisi,day3,acute,1,19,22.03333333
CIC04,control,yes,von Frey,17,F,ipisi,day3,acute,2,20.9,
CIC04,control,yes,von Frey,17,F,ipisi,day3,acute,3,26.2,
CIC04,control,yes,von Frey,17,F,ipisi,day7,acute,1,43.1,47.6
CIC04,control,yes,von Frey,17,F,ipisi,day7,acute,2,32.6,
CIC04,control,yes,von Frey,17,F,ipisi,day7,acute,3,67.1,
CIC04,control,yes,Hargreaves,17,F,contra,pre,acute,1,11.7,9.6
CIC04,control,yes,Hargreaves,17,F,contra,pre,acute,2,7.9,
CIC04,control,yes,Hargreaves,17,F,contra,pre,acute,3,9.2,
CIC04,control,yes,Hargreaves,17,F,contra,day3,acute,1,8.3,9.2
CIC04,control,yes,Hargreaves,17,F,contra,day3,acute,2,9.6,
CIC04,control,yes,Hargreaves,17,F,contra,day3,acute,3,9.7,
CIC04,control,yes,Hargreaves,17,F,contra,day7,acute,1,12.1,9.966666667
CIC04,control,yes,Hargreaves,17,F,contra,day7,acute,2,10.3,
CIC04,control,yes,Hargreaves,17,F,contra,day7,acute,3,7.5,
