ref_animal,ref_treatment,ref_implantation,ref_marker,ref_tissue,ref_section_number,ref_side,ref_quantification
CFA09,CFA,no,TCR,SN,1,ipsilateral,0
CFA09,CFA,no,TCR,SN,2,ipsilateral,0
CFA09,CFA,no,TCR,SN,3,ipsilateral,0
CFA09,no,no,TCR,SN,1,contralateral,5.20E-07
CFA09,no,no,TCR,SN,2,contralateral,0
CFA09,no,no,TCR,SN,3,contralateral,0.00000081
CFA09,no,no,TCR,SN,4,contralateral,5.70E-07
CFA12,CFA,no,TCR,SN,1,ipsilateral,0
CFA12,CFA,no,TCR,SN,2,ipsilateral,0
CFA12,CFA,no,TCR,SN,3,ipsilateral,0
CFA12,no,no,TCR,SN,1,contralateral,0
CFA12,no,no,TCR,SN,2,contralateral,0
CFA14,CFA,no,TCR,SN,1,ipsilateral,0
CFA14,CFA,no,TCR,SN,2,ipsilateral,0
CFA14,CFA,no,TCR,SN,3,ipsilateral,0
CFA14,no,no,TCR,SN,1,contralateral,7.50E-07
CFA14,no,no,TCR,SN,2,contralateral,0.00000251
CFA15,CFA,no,TCR,SN,1,ipsilateral,8.80E-07
CFA15,CFA,no,TCR,SN,2,ipsilateral,1.10E-06
CFA15,no,no,TCR,SN,1,contralateral,0
CFA15,no,no,TCR,SN,2,contralateral,0
CFA15,no,no,TCR,SN,3,contralateral,0
CICFA02,CFA,acute,TCR,SN,1,ipsilateral,4.99E-07
CICFA02,CFA,acute,TCR,SN,2,ipsilateral,1.23E-06
CICFA02,CFA,acute,TCR,SN,3,ipsilateral,5.22E-06
CICFA02,no,no,TCR,SN,1,contralateral,1.39E-06
CICFA02,no,no,TCR,SN,2,contralateral,0
CICFA02,no,no,TCR,SN,3,contralateral,0
CICFA03,CFA,acute,TCR,SN,1,ipsilateral,0
CICFA03,CFA,acute,TCR,SN,2,ipsilateral,7.74E-06
CICFA03,no,no,TCR,SN,1,contralateral,1.19E-06
CICFA03,no,no,TCR,SN,2,contralateral,1.37E-06
CICFA05,CFA,acute,TCR,SN,1,ipsilateral,2.21E-06
CICFA05,CFA,acute,TCR,SN,2,ipsilateral,0
CICFA05,CFA,acute,TCR,SN,3,ipsilateral,0
CICFA05,no,no,TCR,SN,1,contralateral,1.90E-06
CICFA05,no,no,TCR,SN,2,contralateral,0
CICFA05,no,no,TCR,SN,3,contralateral,0
CICFA05,no,no,TCR,SN,4,contralateral,1.19E-06
CICFA06,CFA,acute,TCR,SN,1,ipsilateral,1.09E-06
CICFA06,CFA,acute,TCR,SN,2,ipsilateral,0
CICFA06,CFA,acute,TCR,SN,3,ipsilateral,1.01E-06
CICFA06,CFA,acute,TCR,SN,4,ipsilateral,0.000002523
CICFA06,no,no,TCR,SN,1,contralateral,1.08E-06
CICFA06,no,no,TCR,SN,2,contralateral,4.36E-07
CICFA06,no,no,TCR,SN,3,contralateral,0
CICFA06,no,no,TCR,SN,4,contralateral,2.58E-06
SNI08,SNI,no,TCR,SN,1,ipsilateral,0
SNI08,SNI,no,TCR,SN,2,ipsilateral,0
SNI08,SNI,no,TCR,SN,3,ipsilateral,0
SNI08,no,no,TCR,SN,1,contralateral,0.000000909
SNI08,no,no,TCR,SN,2,contralateral,0.000001935
SNI08,no,no,TCR,SN,3,contralateral,0.00000086
SNI09,SNI,no,TCR,SN,1,ipsilateral,0.000003395
SNI09,SNI,no,TCR,SN,2,ipsilateral,0.000006483
SNI09,SNI,no,TCR,SN,3,ipsilateral,0.000005992
SNI09,no,no,TCR,SN,1,contralateral,0.000000409
SNI09,no,no,TCR,SN,2,contralateral,0
SNI09,no,no,TCR,SN,3,contralateral,0.0000015
SNI09,no,no,TCR,SN,4,contralateral,0
SNI10,SNI,no,TCR,SN,1,ipsilateral,0.000000563
SNI10,SNI,no,TCR,SN,2,ipsilateral,0.000000513
SNI10,SNI,no,TCR,SN,3,ipsilateral,0.000001055
SNI10,SNI,no,TCR,SN,4,ipsilateral,0.000001007
SNI10,no,no,TCR,SN,1,contralateral,0
SNI10,no,no,TCR,SN,2,contralateral,0.000001224
SNI10,no,no,TCR,SN,3,contralateral,0.000001386
SNI10,no,no,TCR,SN,4,contralateral,0.000002589
SNI12,SNI,no,TCR,SN,1,ipsilateral,0.00000113
SNI12,SNI,no,TCR,SN,2,ipsilateral,0.000000985
SNI12,no,no,TCR,SN,3,contralateral,0.000000746
SNI12,no,no,TCR,SN,4,contralateral,0.000000563
SNI12,no,no,TCR,SN,1,contralateral,0
SNI12,no,no,TCR,SN,2,contralateral,0.000001295
SNI13,SNI,no,TCR,SN,1,ipsilateral,0.000002905
SNI13,SNI,no,TCR,SN,2,ipsilateral,0.000004598
SNI13,SNI,no,TCR,SN,3,ipsilateral,0.000001433
